,IDNK,C4orf33,INPP1,S100A4,NQO1,NSUN3,CCNI,C16orf58,RP11-386I14,G6PD,HLA-DPB1,ERGIC2,SIRT6,LACTB,NSL1,NUDT18,CD247,UNC45A,ATXN10,MRPL14,STAMBPL1,TMEM129,PHF1,CD46,HIST1H1E,MX1,WDR4,TBC1D7,OSTF1,CLEC2D,RPS11,HSPA5,PRKAR1A,EBPL,LGALS8,COX6C,CCDC92,RBM10,SAMSN1,LETMD1,SVIP,GCLM,BLZF1,TMEM71,AKAP8L,DHRS7,GPR114,GMFB,KIAA0947,HSPA14,NSMCE1,LENG1,UBA1,CDIPT,TRAPPC6A,ERGIC1,C1orf174,PMM1,PTP4A1,HPS4,RP5-827C21,FYN,AHSA2,CLINT1,THRAP3,SUDS3,PIM2,USP11,UBE2F,GAB3,RTN3,VAPA,RP11-1094M14,FLI1,TAGAP,WDR1,C6orf1,PASK,SLC52A2,USP48,STAG2,SYPL1,BAK1,MCMBP,PANK2,SNHG15,FCHO1,CAPG,WDR60,COX11,ATE1,ZMYM2,RSU1,PIK3R1,KBTBD4,SSU72,THEM4,SF3A2,BRK1,COPB1
IDNK,1.41114718614719,0,0,0,-0.125,0,0,0,0,-0.1,0,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0952380952380952,-0.1,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,-0.0909090909090909,-0.25,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4orf33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INPP1,0,0,0.931565656565657,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,0,0,-0.25,0,0,0,-0.125,-0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,0,0,0
S100A4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NQO1,-0.125,0,0,0,4.79627872127872,0,0,0,0,-0.333333333333333,0,-0.0909090909090909,-0.222222222222222,0,0,0,-0.0769230769230769,-0.111111111111111,0,0,-0.0769230769230769,0,-0.142857142857143,0,0,-0.2,0,0,-0.142857142857143,0,0,-0.272727272727273,-0.0666666666666667,0,0,0,0,-0.0909090909090909,0,0,0,-0.25,0,0,0,0,0,0,0,-0.1,0,-0.25,-0.133333333333333,-0.153846153846154,0,-0.0909090909090909,0,-0.222222222222222,0,0,0,-0.0714285714285714,-0.125,0,0,0,-0.111111111111111,-0.0833333333333333,-0.142857142857143,-0.111111111111111,-0.0769230769230769,-0.0714285714285714,0,-0.125,0,-0.0769230769230769,0,0,0,-0.1,0,0,-0.1,0,0,0,0,0,0,0,-0.222222222222222,0,0,-0.142857142857143,0,0,0,0,0,-0.0833333333333333
NSUN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCNI,0,0,0,0,0,0,0.55959595959596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0909090909090909,0,0,0,0,0,0,0,-0.0909090909090909,0,0,0,0,0,-0.111111111111111,0,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0833333333333333,0,0,0,0,0,0
C16orf58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-386I14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G6PD,-0.1,0,-0.1,0,-0.333333333333333,0,0,0,0,4.6349353261118,0,-0.0769230769230769,-0.181818181818182,0,0,0,-0.0666666666666667,-0.0909090909090909,0,0,-0.0666666666666667,0,0,-0.1,0,-0.0769230769230769,0,0,0,0,0,-0.25,0,0,0,0,0,-0.0769230769230769,0,0,0,-0.2,-0.0833333333333333,0,0,0,0,0,0,-0.0833333333333333,0,-0.0909090909090909,-0.117647058823529,-0.133333333333333,0,-0.0769230769230769,0,-0.3,0,-0.0909090909090909,0,-0.133333333333333,-0.1,0,0,0,-0.0909090909090909,-0.0714285714285714,-0.111111111111111,0,-0.142857142857143,-0.214285714285714,0,-0.1,0,-0.0666666666666667,0,-0.0909090909090909,0,-0.181818181818182,0,0,-0.181818181818182,0,0,0,0,0,0,0,-0.181818181818182,0,0,-0.2,0,0,0,0,0,-0.0714285714285714
HLA-DPB1,0,0,0,0,0,0,0,0,0,0,2.97777777777778,0,0,0,0,0,-0.125,0,0,0,0,0,0,0,0,0,0,0,0,-0.666666666666667,0,0,-0.1,0,0,0,0,0,-0.666666666666667,0,0,0,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111111111111111,0,0,0,0,0,0,0,-0.25,0,0,0,-0.333333333333333,-0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,0,0,0
ERGIC2,0,0,0,0,-0.0909090909090909,0,0,0,0,-0.0769230769230769,0,4.04136419136419,-0.125,0,0,0,0,-0.142857142857143,0,0,-0.0909090909090909,0,0,0,0,-0.25,0,0,0,0,-0.111111111111111,-0.0833333333333333,0,0,0,0,0,-0.111111111111111,0,0,0,-0.142857142857143,0,0,0,-0.166666666666667,0,0,0,-0.285714285714286,0,0,-0.0714285714285714,-0.0833333333333333,0,-0.428571428571429,0,-0.125,0,-0.142857142857143,0,-0.0833333333333333,-0.166666666666667,-0.125,-0.125,0,0,-0.1,0,0,-0.0909090909090909,-0.181818181818182,0,0,0,-0.0909090909090909,0,0,0,0,0,0,-0.125,0,0,0,0,0,0,0,-0.125,0,0,-0.0769230769230769,0,0,0,0,0,-0.222222222222222
SIRT6,-0.2,0,0,0,-0.222222222222222,0,0,0,0,-0.181818181818182,0,-0.125,4.8764586862413,0,0,0,0,-0.4,0,0,0,0,0,0,0,-0.125,0,0,0,0,0,-0.0869565217391304,-0.0833333333333333,0,0,0,0,0,0,0,0,-0.75,0,0,0,0,0,0,0,-0.142857142857143,0,0,-0.272727272727273,-0.2,0,-0.125,0,-0.333333333333333,0,0,0,-0.2,-0.2,0,0,0,0,0,0,0,-0.1,-0.0909090909090909,0,0,0,-0.1,0,0,0,0,0,0,-0.6,0,0,0,0,0,0,0,-0.142857142857143,0,0,-0.0833333333333333,0,0,0,0,0,-0.111111111111111
LACTB,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396825396825397,0,0,0,0,0,0,-0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,-0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NUDT18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD247,0,0,0,0,-0.0769230769230769,0,0,0,0,-0.0666666666666667,-0.125,0,0,0,0,0,3.59324009324009,0,0,0,0,0,-0.142857142857143,-0.125,0,0,0,0,-0.142857142857143,-0.111111111111111,0,-0.0769230769230769,-0.0666666666666667,0,0,0,0,0,-0.111111111111111,0,0,0,-0.1,-0.142857142857143,0,0,0,0,0,0,0,0,0,-0.0714285714285714,0,0,0,0,0,-0.25,0,-0.0714285714285714,0,0,0,0,-0.111111111111111,0,0,-0.428571428571429,0,-0.0714285714285714,0,-0.125,-0.272727272727273,0,0,-0.25,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,-0.125,0,-0.142857142857143,-0.142857142857143,0,-0.142857142857143,0,0,0
UNC45A,0,0,0,0,-0.111111111111111,0,0,0,0,-0.0909090909090909,0,-0.142857142857143,-0.4,0,0,0,0,3.80505834744965,0,0,0,0,0,0,0,-0.142857142857143,0,0,0,0,-0.142857142857143,-0.0434782608695652,0,0,0,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,0,-0.166666666666667,0,0,-0.0833333333333333,-0.1,0,-0.142857142857143,0,-0.166666666666667,0,0,0,-0.1,-0.666666666666667,0,0,0,0,0,0,0,-0.111111111111111,-0.1,0,0,0,-0.111111111111111,0,0,0,0,0,0,-0.4,0,0,0,0,0,0,0,-0.166666666666667,0,0,-0.0909090909090909,0,0,0,0,0,-0.125
ATXN10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRPL14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
